"","occupation","major_category","minor_category","total_workers","workers_male","workers_female","percent_female","total_earnings","total_earnings_male","total_earnings_female","wage_percent_of_male","date_collected"
"704","Clinical laboratory technologists and technicians","Healthcare Practitioners and Technical","Healthcare Practitioners and Technical",240655,67742,172913,71.9,46116,50251,45086,89.7215975801476,2020-06-01
"705","Dental hygienists","Healthcare Practitioners and Technical","Healthcare Practitioners and Technical",62115,4690,57425,92.4,57014,90873,56113,NA,2020-06-01
"706","Diagnostic related technologists and technicians","Healthcare Practitioners and Technical","Healthcare Practitioners and Technical",243730,77199,166531,68.3,55288,61101,52395,85.7514606962243,2020-06-01
"707","Emergency medical technicians and paramedics","Healthcare Practitioners and Technical","Healthcare Practitioners and Technical",161288,116818,44470,27.6,42006,45812,36003,78.5885794115079,2020-06-01
"708","Health practitioner support technologists and technicians","Healthcare Practitioners and Technical","Healthcare Practitioners and Technical",431165,109040,322125,74.7,34036,43170,31930,73.9634005096132,2020-06-01
"709","Licensed practical and licensed vocational nurses","Healthcare Practitioners and Technical","Healthcare Practitioners and Technical",588550,73173,515377,87.6,37020,39777,36863,92.6741584332654,2020-06-01
"710","Medical records and health information technicians","Healthcare Practitioners and Technical","Healthcare Practitioners and Technical",128111,12214,115897,90.5,35805,37349,35578,95.258239845779,2020-06-01
"711","Opticians, dispensing","Healthcare Practitioners and Technical","Healthcare Practitioners and Technical",42394,13631,28763,67.8,37327,45916,34290,74.6798501611639,2020-06-01
"712","Miscellaneous health technologists and technicians","Healthcare Practitioners and Technical","Healthcare Practitioners and Technical",97285,40613,56672,58.3,40935,46835,37369,79.7886196220775,2020-06-01
"713","Other healthcare practitioners and technical","Healthcare Practitioners and Technical","Healthcare Practitioners and Technical",76705,42934,33771,44,51767,55296,47198,85.3551793981482,2020-06-01
"714","Nursing, psychiatric, and home health aides","Service","Healthcare Support",1204676,163850,1040826,86.4,25613,27354,25353,92.6847992980917,2020-06-01
"715","Occupational therapy assistants and aides","Service","Healthcare Support",12056,839,11217,93,46812,48175,46725,NA,2020-06-01
"716","Physical therapist assistants and aides","Service","Healthcare Support",49661,14590,35071,70.6,45272,47565,44280,93.0936613055818,2020-06-01
"717","Massage therapists","Service","Healthcare Support",59445,15114,44331,74.6,29167,30553,28603,93.6176480214709,2020-06-01
"718","Dental assistants","Service","Healthcare Support",160356,12214,148142,92.4,31154,38150,30934,81.0851900393185,2020-06-01
"719","Medical assistants","Service","Healthcare Support",371596,33230,338366,91.1,29161,32055,28834,89.9516456091093,2020-06-01
"720","Medical transcriptionists","Service","Healthcare Support",27861,1643,26218,94.1,31621,36889,31436,NA,2020-06-01
"721","Pharmacy aides","Service","Healthcare Support",27555,5863,21692,78.7,30371,35713,29246,NA,2020-06-01
"722","Veterinary assistants and laboratory animal caretakers","Service","Healthcare Support",25916,4685,21231,81.9,26224,31865,25464,NA,2020-06-01
"723","Phlebotomists","Service","Healthcare Support",71105,8742,62363,87.7,30387,32364,30164,93.2023235693981,2020-06-01
"724","Healthcare support workers, all other, including medical equipment preparers","Service","Healthcare Support",88357,29607,58750,66.5,28572,33008,26809,81.2197043141057,2020-06-01
"725","First-line supervisors of correctional officers","Service","Protective Service",54772,39920,14852,27.1,51123,52747,47980,90.9625191954045,2020-06-01
"726","First-line supervisors of police and detectives","Service","Protective Service",99163,83876,15287,15.4,76115,79451,59909,75.4037079457779,2020-06-01
"727","First-line supervisors of fire fighting and prevention workers","Service","Protective Service",39947,38140,1807,4.5,84250,85472,70432,NA,2020-06-01
"728","First-line supervisors of protective service workers, all other","Service","Protective Service",67352,49211,18141,26.9,50683,51016,49734,97.487062882233,2020-06-01
"729","Firefighters","Service","Protective Service",278058,269060,8998,3.2,65037,65166,55953,85.8622594604549,2020-06-01
"730","Fire inspectors","Service","Protective Service",15969,14224,1745,10.9,56286,56968,48737,NA,2020-06-01
"731","Bailiffs, correctional officers, and jailers","Service","Protective Service",396206,291867,104339,26.3,43548,46662,38324,82.1310702498821,2021-01-01
"732","Detectives and criminal investigators","Service","Protective Service",122800,93314,29486,24,74362,80236,60317,75.174485268458,2021-01-01
"733","Fish and game wardens","Service","Protective Service",5090,4535,555,10.9,50428,49161,58450,NA,2021-01-01
"734","Parking enforcement workers","Service","Protective Service",5647,3430,2217,39.3,40090,40887,35148,NA,2021-01-01
"735","Police and sheriff's patrol officers","Service","Protective Service",679836,589160,90676,13.3,60535,61068,52937,86.6853343813454,2021-01-01
"736","Transit and railroad police","Service","Protective Service",1549,1296,253,16.3,61442,61917,47964,NA,2021-01-01
"737","Animal control workers","Service","Protective Service",8844,5007,3837,43.4,33046,34706,30741,NA,2021-01-01
"738","Private detectives and investigators","Service","Protective Service",74485,42162,32323,43.4,51775,57338,45554,79.4481844501029,2021-01-01
"739","Security guards and gaming surveillance officers","Service","Protective Service",672682,528648,144034,21.4,30461,30625,29526,96.4114285714286,2021-01-01
"740","Crossing guards","Service","Protective Service",11937,6732,5205,43.6,31936,30186,36788,NA,2021-01-01
"741","Transportation security screeners","Service","Protective Service",22644,14885,7759,34.3,40748,41780,38436,91.9961704164672,2021-01-01
"742","Lifeguards and other recreational, and all other protective service workers","Service","Protective Service",25901,16926,8975,34.7,30550,33579,24645,73.3940855892075,2021-01-01
"743","Chefs and head cooks","Service","Food Preparation and Serving Related",317690,258841,58849,18.5,30912,31333,27334,87.2370982670028,2021-01-01
"744","First-line supervisors of food preparation and serving workers","Service","Food Preparation and Serving Related",361486,164698,196788,54.4,24662,27882,21967,78.7855964421491,2021-01-01
"745","Cooks","Service","Food Preparation and Serving Related",1158633,748984,409649,35.4,20695,21436,18708,87.2737451016981,2021-01-01
"746","Food preparation workers","Service","Food Preparation and Serving Related",312134,147221,164913,52.8,19113,20107,18110,90.0681354752076,2021-01-01
"747","Bartenders","Service","Food Preparation and Serving Related",206547,98170,108377,52.5,26711,30599,24184,79.0352625902807,2021-01-01
"748","Combined food preparation and serving workers, including fast food","Service","Food Preparation and Serving Related",127802,45650,82152,64.3,19301,19509,19204,98.4366189963607,2021-01-01
"749","Counter attendants, cafeteria, food concession, and coffee shop","Service","Food Preparation and Serving Related",32166,11409,20757,64.5,17266,18258,16890,92.5073940190601,2021-01-01
"750","Waiters and waitresses","Service","Food Preparation and Serving Related",701881,255486,446395,63.6,21238,23875,20133,84.3267015706806,2021-01-01
"751","Food servers, nonrestaurant","Service","Food Preparation and Serving Related",82495,30421,52074,63.1,23645,27673,21543,77.8484443320204,2021-01-01
"752","Dining room and cafeteria attendants and bartender helpers","Service","Food Preparation and Serving Related",106948,69856,37092,34.7,20330,20922,18970,90.6701080202657,2021-01-01
"753","Dishwashers","Service","Food Preparation and Serving Related",108067,89294,18773,17.4,17764,17900,17295,96.6201117318436,2021-01-01
"754","Hosts and hostesses, restaurant, lounge, and coffee shop","Service","Food Preparation and Serving Related",40718,7322,33396,82,18456,25206,17163,NA,2021-01-01
"755","Food preparation and serving related workers, all other","Service","Food Preparation and Serving Related",6621,3761,2860,43.2,18287,17877,18413,NA,2021-01-01
"756","First-line supervisors of housekeeping and janitorial workers","Service","Building and Grounds Cleaning and Maintenance",175328,115757,59571,34,36071,41271,27272,66.0802985146955,2021-01-01
"757","First-line supervisors of landscaping, lawn service, and groundskeeping workers","Service","Building and Grounds Cleaning and Maintenance",113497,107925,5572,4.9,40065,40374,30951,NA,2021-01-01
"758","Janitors and building cleaners","Service","Building and Grounds Cleaning and Maintenance",1532714,1156110,376604,24.6,26883,29635,21904,73.9126033406445,2021-01-01
"759","Maids and housekeeping cleaners","Service","Building and Grounds Cleaning and Maintenance",757647,119135,638512,84.3,20477,25146,19764,78.5969935576235,2021-01-01
"760","Pest control workers","Service","Building and Grounds Cleaning and Maintenance",58844,55812,3032,5.2,35558,35499,36296,NA,2021-01-01
"761","Grounds maintenance workers","Service","Building and Grounds Cleaning and Maintenance",747493,715414,32079,4.3,24570,24616,22929,93.1467338316542,2021-01-01
"762","First-line supervisors of gaming workers","Service","Personal Care and Service",18128,11231,6897,38,44452,45984,40514,88.1045581071677,2021-01-01
"763","First-line supervisors of personal service workers","Service","Personal Care and Service",60234,23389,36845,61.2,32818,36619,31367,85.6577186706354,2021-01-01
"764","Animal trainers","Service","Personal Care and Service",27257,12136,15121,55.5,29592,35604,25656,72.0593191776205,2021-01-01
"765","Nonfarm animal caretakers","Service","Personal Care and Service",106483,30268,76215,71.6,23806,26048,22859,87.7572174447174,2021-01-01
"766","Gaming services workers","Service","Personal Care and Service",66084,38049,28035,42.4,38759,40433,36969,91.432740583187,2021-01-01
"767","Motion picture projectionists","Service","Personal Care and Service",1645,1583,62,3.8,30297,30565,NA,NA,2021-01-01
"768","Ushers, lobby attendants, and ticket takers","Service","Personal Care and Service",6175,3936,2239,36.3,25024,26850,23288,NA,2021-01-01
"769","Miscellaneous entertainment attendants and related workers","Service","Personal Care and Service",52296,30640,21656,41.4,25353,26824,23395,87.2166716373397,2021-01-01
"770","Embalmers and funeral attendants","Service","Personal Care and Service",5333,4091,1242,23.3,32270,35674,25977,NA,2021-01-01
"771","Morticians, undertakers, and funeral directors","Service","Personal Care and Service",32853,24345,8508,25.9,50136,51651,39199,75.8920446845172,2021-01-01
"772","Barbers","Service","Personal Care and Service",69049,56626,12423,18,25380,26015,22291,85.685181625985,2021-01-01
"773","Hairdressers, hairstylists, and cosmetologists","Service","Personal Care and Service",425183,46421,378762,89.1,24776,31715,23714,74.7721898155447,2021-01-01
"774","Miscellaneous personal appearance workers","Service","Personal Care and Service",179507,35665,143842,80.1,21574,21809,21506,98.6106653216562,2021-01-01
"775","Baggage porters, bellhops, and concierges","Service","Personal Care and Service",58485,47332,11153,19.1,30649,31464,28102,89.3147724383422,2021-01-01
"776","Tour and travel guides","Service","Personal Care and Service",15875,10345,5530,34.8,27641,26595,30540,114.83361534123,2021-01-01
"777","Childcare workers","Service","Personal Care and Service",538900,29136,509764,94.6,20642,24602,20452,83.1314527274205,2021-01-01
"778","Personal care aides","Service","Personal Care and Service",629543,115059,514484,81.7,21825,24091,21459,89.0747582084596,2021-01-01
"779","Recreation and fitness workers","Service","Personal Care and Service",173857,73410,100447,57.8,31005,35635,27867,78.201206678827,2021-01-01
"780","Residential advisors","Service","Personal Care and Service",27719,9506,18213,65.7,27733,27532,27761,100.831759407235,2021-01-01
"781","Personal care and service workers, all other","Service","Personal Care and Service",46143,27591,18552,40.2,25728,26138,24444,93.5190144617033,2021-01-01
"782","First-line supervisors of retail sales workers","Sales and Office","Sales and Related",2548184,1454977,1093207,42.9,38807,44447,32093,72.2050982068531,2021-01-01
"783","First-line supervisors of non-retail sales workers","Sales and Office","Sales and Related",1073544,763485,310059,28.9,61010,62257,55013,88.3643606341456,2021-01-01
"784","Cashiers","Sales and Office","Sales and Related",964264,275605,688659,71.4,20251,21696,19688,90.7448377581121,2021-01-01
"785","Counter and rental clerks","Sales and Office","Sales and Related",47070,25390,21680,46.1,28446,36039,23941,66.4308110657898,2021-01-01
"786","Parts salespersons","Sales and Office","Sales and Related",84821,75787,9034,10.7,35264,36195,26989,74.5655477275867,2021-01-01
"787","Retail salespersons","Sales and Office","Sales and Related",1706417,1034865,671552,39.4,31567,36903,26051,70.5931767065008,2021-01-01
"788","Advertising sales agents","Sales and Office","Sales and Related",139398,72167,67231,48.2,55768,60973,50664,83.0925163597002,2021-01-01
"789","Insurance sales agents","Sales and Office","Sales and Related",435197,232437,202760,46.6,50441,61939,40861,65.9697444259675,2021-01-01
"790","Securities, commodities, and financial services sales agents","Sales and Office","Sales and Related",212151,151873,60278,28.4,81020,100017,57024,57.0143075677135,2021-01-01
"791","Travel agents","Sales and Office","Sales and Related",53306,10988,42318,79.4,39306,42195,37187,88.1312951771537,2021-01-01
"792","Sales representatives, services, all other","Sales and Office","Sales and Related",529277,363958,165319,31.2,60973,66103,50916,77.0252484758634,2021-01-01
"793","Sales representatives, wholesale and manufacturing","Sales and Office","Sales and Related",1177413,872483,304930,25.9,61920,65198,52549,80.5990981318445,2021-01-01
"794","Models, demonstrators, and product promoters","Sales and Office","Sales and Related",15243,7024,8219,53.9,37469,36869,39774,NA,2021-01-01
"795","Real estate brokers and sales agents","Sales and Office","Sales and Related",534320,261734,272586,51,52124,62132,46221,74.3916178458765,2021-01-01
"796","Sales engineers","Sales and Office","Sales and Related",32909,30615,2294,7,97271,98568,80547,NA,2021-01-01
"797","Telemarketers","Sales and Office","Sales and Related",38731,15021,23710,61.2,25063,27405,22793,83.170954205437,2021-01-01
"798","Door-to-door sales workers, news and street vendors, and related workers","Sales and Office","Sales and Related",54795,32505,22290,40.7,27326,29807,24704,82.8798604354682,2021-01-01
"799","Sales and related workers, all other","Sales and Office","Sales and Related",187100,107761,79339,42.4,51804,60938,44199,72.5310971807411,2021-01-01
"800","First-line supervisors of office and administrative support workers","Sales and Office","Office and Administrative Support",1146803,449090,697713,60.8,47166,52192,44181,84.6509043531576,2021-01-01
"801","Switchboard operators, including answering service","Sales and Office","Office and Administrative Support",18557,3038,15519,83.6,26952,27978,26883,NA,2021-01-01
"802","Telephone operators","Sales and Office","Office and Administrative Support",28220,5516,22704,80.5,30644,35392,29157,NA,2021-01-01
"803","Communications equipment operators, all other","Sales and Office","Office and Administrative Support",8194,4926,3268,39.9,50845,52307,34015,NA,2021-01-01
"804","Bill and account collectors","Sales and Office","Office and Administrative Support",141345,39750,101595,71.9,33001,35614,32404,90.9866906272814,2021-01-01
"805","Billing and posting clerks","Sales and Office","Office and Administrative Support",375964,43730,332234,88.4,33078,38530,32379,84.0358162470802,2021-01-01
"806","Bookkeeping, accounting, and auditing clerks","Sales and Office","Office and Administrative Support",821268,111395,709873,86.4,37260,41368,36891,89.1776252175595,2021-01-01
"807","Gaming cage workers","Sales and Office","Office and Administrative Support",6326,2076,4250,67.2,27460,34971,26384,NA,2021-01-01
"808","Payroll and timekeeping clerks","Sales and Office","Office and Administrative Support",124952,16181,108771,87.1,40093,41891,39584,94.492850492946,2021-01-01
"809","Procurement clerks","Sales and Office","Office and Administrative Support",26885,11186,15699,58.4,49515,59765,43055,72.0404919267129,2021-01-01
"810","Tellers","Sales and Office","Office and Administrative Support",228539,33332,195207,85.4,25876,26341,25808,97.9765384761399,2021-01-01
"811","Financial clerks, all other","Sales and Office","Office and Administrative Support",94393,34648,59745,63.3,46241,66189,40423,61.0720814636873,2021-01-01
"812","Brokerage clerks","Sales and Office","Office and Administrative Support",6566,1547,5019,76.4,44597,54420,42373,NA,2021-01-01
"813","Correspondence clerks","Sales and Office","Office and Administrative Support",4237,965,3272,77.2,35930,35075,36071,NA,2021-01-01
"814","Court, municipal, and license clerks","Sales and Office","Office and Administrative Support",59598,13619,45979,77.1,36682,41381,35895,86.7427080060898,2021-01-01
"815","Credit authorizers, checkers, and clerks","Sales and Office","Office and Administrative Support",38097,10010,28087,73.7,37407,46838,36218,77.3261027370938,2021-01-01
"816","Customer service representatives","Sales and Office","Office and Administrative Support",1669991,591258,1078733,64.6,32332,36341,31531,86.7642607523183,2021-01-01
"817","Eligibility interviewers, government programs","Sales and Office","Office and Administrative Support",65854,12952,52902,80.3,41195,47051,40508,86.0938130964273,2021-01-01
"818","File clerks","Sales and Office","Office and Administrative Support",164174,37427,126747,77.2,31981,36499,31482,86.2544179292584,2021-01-01
"819","Hotel, motel, and resort desk clerks","Sales and Office","Office and Administrative Support",75704,29858,45846,60.6,21651,22119,21218,95.9265789592658,2021-01-01
"820","Interviewers, except eligibility and loan","Sales and Office","Office and Administrative Support",84111,15614,68497,81.4,32072,36282,31690,87.3435863513588,2021-01-01
"821","Library assistants, clerical","Sales and Office","Office and Administrative Support",34487,6071,28416,82.4,30596,33851,30195,NA,2021-01-01
"822","Loan interviewers and clerks","Sales and Office","Office and Administrative Support",99022,19370,79652,80.4,41743,44236,41251,93.2521023600687,2021-01-01
"823","New accounts clerks","Sales and Office","Office and Administrative Support",12498,3866,8632,69.1,36786,40891,35459,NA,2021-01-01
"824","Order clerks","Sales and Office","Office and Administrative Support",85608,38120,47488,55.5,31715,32151,31320,97.4153214518988,2021-01-01
"825","Human resources assistants, except payroll and timekeeping","Sales and Office","Office and Administrative Support",48476,9353,39123,80.7,38134,41918,37139,88.5991698077198,2021-01-01
"826","Receptionists and information clerks","Sales and Office","Office and Administrative Support",643687,61685,582002,90.4,27125,30650,26976,88.0130505709625,2021-01-01
"827","Reservation and transportation ticket agents and travel clerks","Sales and Office","Office and Administrative Support",87092,37127,49965,57.4,37781,41676,35527,85.2457049620885,2021-01-01
"828","Information and record clerks, all other","Sales and Office","Office and Administrative Support",73262,13687,59575,81.3,36034,40504,35578,87.8382381986964,2021-01-01
"829","Cargo and freight agents","Sales and Office","Office and Administrative Support",15275,9758,5517,36.1,40517,41102,40026,NA,2021-01-01
"830","Couriers and messengers","Sales and Office","Office and Administrative Support",146362,128267,18095,12.4,39451,40454,35553,87.8850051910812,2021-01-01
"831","Dispatchers","Sales and Office","Office and Administrative Support",244363,107528,136835,56,37688,42178,34728,82.3367632415003,2021-01-01
"832","Meter readers, utilities","Sales and Office","Office and Administrative Support",25329,21464,3865,15.3,37039,36727,38729,NA,2021-01-01
"833","Postal service clerks","Sales and Office","Office and Administrative Support",90764,46025,44739,49.3,54650,55978,52953,94.5960913215906,2021-01-01
"834","Postal service mail carriers","Sales and Office","Office and Administrative Support",252571,160610,91961,36.4,55921,57131,52261,91.475731214227,2021-01-01
"835","Postal service mail sorters, processors, and processing machine operators","Sales and Office","Office and Administrative Support",52498,28102,24396,46.5,54788,55844,52804,94.5562638779457,2021-01-01
"836","Production, planning, and expediting clerks","Sales and Office","Office and Administrative Support",264366,118215,146151,55.3,44413,54623,38292,70.1023378430332,2021-01-01
"837","Shipping, receiving, and traffic clerks","Sales and Office","Office and Administrative Support",463500,330111,133389,28.8,30729,31211,29372,94.1078465925475,2021-01-01
"838","Stock clerks and order fillers","Sales and Office","Office and Administrative Support",829783,546352,283431,34.2,26605,27108,25745,94.9719639958684,2021-01-01
"839","Weighers, measurers, checkers, and samplers, recordkeeping","Sales and Office","Office and Administrative Support",62783,33794,28989,46.2,34284,39691,31033,78.1864906401955,2021-01-01
"840","Secretaries and administrative assistants","Sales and Office","Office and Administrative Support",2267963,109810,2158153,95.2,36141,41073,36004,87.6585591507803,2021-01-01
"841","Computer operators","Sales and Office","Office and Administrative Support",64280,35029,29251,45.5,41218,50004,35821,71.6362690984721,2021-01-01
"842","Data entry keyers","Sales and Office","Office and Administrative Support",236645,50011,186634,78.9,31421,35479,30850,86.9528453451337,2021-01-01
"843","Word processors and typists","Sales and Office","Office and Administrative Support",194758,29341,165417,84.9,33942,35117,33695,95.9506791582424,2021-01-01
"844","Desktop publishers","Sales and Office","Office and Administrative Support",1847,767,1080,58.5,50779,50962,47443,NA,2021-01-01
"845","Insurance claims and policy processing clerks","Sales and Office","Office and Administrative Support",298694,55430,243264,81.4,36111,39019,35733,91.5784617750327,2021-01-01
"846","Mail clerks and mail machine operators, except postal service","Sales and Office","Office and Administrative Support",51096,24983,26113,51.1,30003,31673,26519,83.7274650333091,2021-01-01
"847","Office clerks, general","Sales and Office","Office and Administrative Support",798828,141921,656907,82.2,32573,37853,32053,84.6775684886271,2021-01-01
"848","Office machine operators, except computer","Sales and Office","Office and Administrative Support",18384,8958,9426,51.3,31607,35214,30327,86.121996933038,2021-01-01
"849","Proofreaders and copy markers","Sales and Office","Office and Administrative Support",6117,1817,4300,70.3,36265,36679,36101,NA,2021-01-01
"850","Statistical assistants","Sales and Office","Office and Administrative Support",13979,5360,8619,61.7,45281,60366,41460,68.6810456217076,2021-01-01
"851","Office and administrative support workers, all other","Sales and Office","Office and Administrative Support",471807,121141,350666,74.3,39222,42369,37669,88.9069838797234,2021-01-01
